Model selection results for subset: 2fb1f913df8fc932fb1de8e14e07f102
Subset alignment stored here: ./analysis/phylofiles/2fb1f913df8fc932fb1de8e14e07f102.phy
This subset contains the following data_blocks: recA
Number of columns in subset: 317
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
BLOSUM62+F      | 19              | -2834.013       | 5708.585         | 5706.026        | 5777.445       
BLOSUM62+G+F    | 20              | -2834.0286      | 5710.895         | 5708.057        | 5783.2354      
BLOSUM62+I+F    | 20              | -2834.0347      | 5710.907         | 5708.0693       | 5783.2476      
BLOSUM62+I+G+F  | 21              | -2834.0916      | 5713.3154        | 5710.183        | 5789.12        
VT+F            | 19              | -2842.2417      | 5725.0425        | 5722.4834       | 5793.9023      
VT+G+F          | 20              | -2842.2576      | 5727.353         | 5724.515        | 5799.6934      
VT+I+F          | 20              | -2842.2625      | 5727.363         | 5724.525        | 5799.703       
VT+I+G+F        | 21              | -2842.3215      | 5729.7754        | 5726.643        | 5805.58        
WAG+F           | 19              | -2861.0693      | 5762.6978        | 5760.1387       | 5831.5576      
WAG+G+F         | 20              | -2861.0474      | 5764.9326        | 5762.0947       | 5837.273       
WAG+I+F         | 20              | -2861.0808      | 5764.9995        | 5762.1616       | 5837.34        
WAG+I+G+F       | 21              | -2861.046       | 5767.224         | 5764.092        | 5843.029       
CPREV+F         | 19              | -2865.5771      | 5771.7134        | 5769.1543       | 5840.573       
CPREV+G+F       | 20              | -2865.3938      | 5773.6255        | 5770.7876       | 5845.966       
CPREV+I+F       | 20              | -2865.5862      | 5774.0103        | 5771.1724       | 5846.3506      
CPREV+I+G+F     | 21              | -2865.3984      | 5775.929         | 5772.797        | 5851.734       
JTT+F           | 19              | -2881.096       | 5802.751         | 5800.192        | 5871.611       
JTT+G+F         | 20              | -2880.918       | 5804.674         | 5801.836        | 5877.014       
JTT+I+F         | 20              | -2881.109       | 5805.0557        | 5802.218        | 5877.396       
RTREV+F         | 19              | -2882.585       | 5805.729         | 5803.17         | 5874.589       
RTREV+G+F       | 20              | -2881.5017      | 5805.8413        | 5803.0034       | 5878.1816      
JTT+I+G+F       | 21              | -2880.9182      | 5806.9688        | 5803.8364       | 5882.7734      
RTREV+I+F       | 20              | -2882.597       | 5808.0317        | 5805.194        | 5880.372       
RTREV+I+G+F     | 21              | -2881.5085      | 5808.1494        | 5805.017        | 5883.954       
LG+F            | 19              | -2884.9902      | 5810.5396        | 5807.9805       | 5879.3994      
LG+G+F          | 20              | -2884.2554      | 5811.3486        | 5808.5107       | 5883.689       
LG+I+F          | 20              | -2885.0005      | 5812.839         | 5810.001        | 5885.179       
LG+I+G+F        | 21              | -2884.263       | 5813.658         | 5810.526        | 5889.463       
BLOSUM62        | 0               | -2920.0095      | 5840.019         | 5840.019        | 5840.019       
BLOSUM62+I      | 1               | -2920.025       | 5842.0625        | 5842.05         | 5845.8086      
BLOSUM62+G      | 1               | -2920.0256      | 5842.064         | 5842.0513       | 5845.81        
BLOSUM62+I+G    | 2               | -2920.097       | 5844.232         | 5844.194        | 5851.7114      
VT              | 0               | -2933.6638      | 5867.3276        | 5867.3276       | 5867.3276      
VT+I            | 1               | -2933.6792      | 5869.371         | 5869.3584       | 5873.117       
VT+G            | 1               | -2933.6804      | 5869.3735        | 5869.361        | 5873.1196      
VT+I+G          | 2               | -2933.7512      | 5871.5405        | 5871.5024       | 5879.02        
