Model selection results for subset: 33f5cd35c97b5904457cece1d0686447
Subset alignment stored here: ./analysis/phylofiles/33f5cd35c97b5904457cece1d0686447.phy
This subset contains the following data_blocks: dnaK, dnaA
Number of columns in subset: 1000
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
BLOSUM62+I+G+F  | 21              | -12788.522      | 25619.99         | 25619.045       | 25722.107      
BLOSUM62+G+F    | 20              | -12793.0205     | 25626.898        | 25626.041       | 25724.195      
VT+I+G+F        | 21              | -12793.005      | 25628.955        | 25628.01        | 25731.072      
BLOSUM62+I+F    | 20              | -12797.068      | 25634.994        | 25634.137       | 25732.291      
VT+I+F          | 20              | -12798.766      | 25638.389        | 25637.531       | 25735.686      
VT+G+F          | 20              | -12799.3        | 25639.457        | 25638.6         | 25736.754      
BLOSUM62+F      | 19              | -12817.863      | 25674.502        | 25673.727       | 25766.975      
VT+F            | 19              | -12822.039      | 25682.854        | 25682.078       | 25775.326      
WAG+I+G+F       | 21              | -12838.46       | 25719.865        | 25718.92        | 25821.982      
WAG+G+F         | 20              | -12842.562      | 25725.98         | 25725.123       | 25823.277      
CPREV+I+G+F     | 21              | -12852.927      | 25748.799        | 25747.854       | 25850.916      
CPREV+G+F       | 20              | -12858.833      | 25758.523        | 25757.666       | 25855.82       
WAG+I+F         | 20              | -12863.012      | 25766.88         | 25766.023       | 25864.178      
RTREV+I+G+F     | 21              | -12862.299      | 25767.543        | 25766.598       | 25869.66       
RTREV+G+F       | 20              | -12866.819      | 25774.496        | 25773.639       | 25871.793      
CPREV+I+F       | 20              | -12886.599      | 25814.055        | 25813.197       | 25911.352      
WAG+F           | 19              | -12894.605      | 25827.986        | 25827.21        | 25920.459      
LG+I+G+F        | 21              | -12898.639      | 25840.223        | 25839.277       | 25942.34       
RTREV+I+F       | 20              | -12900.57       | 25841.998        | 25841.14        | 25939.295      
LG+G+F          | 20              | -12903.649      | 25848.156        | 25847.299       | 25945.453      
JTT+I+G+F       | 21              | -12906.022      | 25854.99         | 25854.045       | 25957.107      
JTT+G+F         | 20              | -12914.0205     | 25868.898        | 25868.041       | 25966.195      
CPREV+F         | 19              | -12928.42       | 25895.615        | 25894.84        | 25988.088      
JTT+I+F         | 20              | -12928.966      | 25898.79         | 25897.932       | 25996.086      
