Model selection results for subset: 529bf31ba5aabf57187213952eaf11f9
Subset alignment stored here: ./analysis/phylofiles/529bf31ba5aabf57187213952eaf11f9.phy
This subset contains the following data_blocks: gyrB, rpoB
Number of columns in subset: 1923
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
VT+F            | 19              | -14051.343      | 28141.084        | 28140.686       | 28246.357      
VT+G+F          | 20              | -14051.346      | 28143.133        | 28142.691       | 28253.924      
VT+I+F          | 20              | -14051.429      | 28143.299        | 28142.857       | 28254.09       
VT+I+G+F        | 21              | -14055.585      | 28153.656        | 28153.17        | 28269.965      
BLOSUM62+F      | 19              | -14066.213      | 28170.824        | 28170.426       | 28276.098      
BLOSUM62+G+F    | 20              | -14066.223      | 28172.887        | 28172.445       | 28283.678      
BLOSUM62+I+F    | 20              | -14066.309      | 28173.059        | 28172.617       | 28283.85       
BLOSUM62+I+G+F  | 21              | -14070.451      | 28183.389        | 28182.902       | 28299.697      
WAG+F           | 19              | -14162.123      | 28362.645        | 28362.246       | 28467.918      
WAG+G+F         | 20              | -14162.128      | 28364.697        | 28364.256       | 28475.488      
WAG+I+F         | 20              | -14162.21       | 28364.861        | 28364.42        | 28475.652      
WAG+I+G+F       | 21              | -14166.103      | 28374.691        | 28374.205       | 28491.0        
RTREV+F         | 19              | -14271.164      | 28580.727        | 28580.328       | 28686.0        
RTREV+G+F       | 20              | -14271.179      | 28582.799        | 28582.357       | 28693.59       
RTREV+I+F       | 20              | -14271.258      | 28582.957        | 28582.516       | 28693.748      
JTT+F           | 19              | -14274.5205     | 28587.44         | 28587.041       | 28692.713      
JTT+G+F         | 20              | -14274.533      | 28589.508        | 28589.066       | 28700.299      
JTT+I+F         | 20              | -14274.613      | 28589.668        | 28589.227       | 28700.459      
RTREV+I+G+F     | 21              | -14274.842      | 28592.17         | 28591.684       | 28708.479      
JTT+I+G+F       | 21              | -14278.387      | 28599.26         | 28598.773       | 28715.568      
LG+F            | 19              | -14298.141      | 28634.68         | 28634.281       | 28739.953      
LG+G+F          | 20              | -14298.166      | 28636.773        | 28636.332       | 28747.564      
LG+I+F          | 20              | -14298.233      | 28636.908        | 28636.467       | 28747.7        
LG+I+G+F        | 21              | -14301.863      | 28646.213        | 28645.727       | 28762.521      
CPREV+F         | 19              | -14336.298      | 28710.994        | 28710.596       | 28816.268      
CPREV+G+F       | 20              | -14336.322      | 28713.086        | 28712.645       | 28823.877      
CPREV+I+F       | 20              | -14336.394      | 28713.229        | 28712.787       | 28824.02       
CPREV+I+G+F     | 21              | -14339.715      | 28721.916        | 28721.43        | 28838.225      
VT              | 0               | -14446.249      | 28892.498        | 28892.498       | 28892.498      
VT+G            | 1               | -14446.247      | 28894.496        | 28894.494       | 28900.057      
VT+I            | 1               | -14446.327      | 28894.656        | 28894.654       | 28900.217      
VT+I+G          | 2               | -14450.45       | 28904.906        | 28904.9         | 28916.023      
BLOSUM62        | 0               | -14463.953      | 28927.906        | 28927.906       | 28927.906      
BLOSUM62+G      | 1               | -14463.949      | 28929.9          | 28929.898       | 28935.46       
BLOSUM62+I      | 1               | -14464.029      | 28930.06         | 28930.059       | 28935.621      
BLOSUM62+I+G    | 2               | -14468.121      | 28940.248        | 28940.242       | 28951.365      
DCMUT+F         | 19              | -14462.494      | 28963.387        | 28962.988       | 29068.66       
DCMUT+G+F       | 20              | -14462.518      | 28965.477        | 28965.035       | 29076.268      
DCMUT+I+F       | 20              | -14462.577      | 28965.596        | 28965.154       | 29076.387      
