INFO     | 2019-07-07 17:18:15,879 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2019-07-07 17:18:15,883 | config     | Setting 'alignment' to 'genom.phy'
INFO     | 2019-07-07 17:18:15,884 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2019-07-07 17:18:15,884 | parser     | You set 'models' to: all
INFO     | 2019-07-07 17:18:15,908 | model_load | This analysis will use the following 56 models of molecular evolution
INFO     | 2019-07-07 17:18:15,909 | model_load | JC, K80, TRNEF, K81, TVMEF, TIMEF, SYM, F81, HKY, TRN, K81UF, TVM, TIM, GTR, JC+G, K80+G, TRNEF+G, K81+G, TVMEF+G, TIMEF+G, SYM+G, F81+G, HKY+G, TRN+G, K81UF+G, TVM+G, TIM+G, GTR+G, JC+I, K80+I, TRNEF+I, K81+I, TVMEF+I, TIMEF+I, SYM+I, F81+I, HKY+I, TRN+I, K81UF+I, TVM+I, TIM+I, GTR+I, JC+I+G, K80+I+G, TRNEF+I+G, K81+I+G, TVMEF+I+G, TIMEF+I+G, SYM+I+G, F81+I+G, HKY+I+G, TRN+I+G, K81UF+I+G, TVM+I+G, TIM+I+G, GTR+I+G
INFO     | 2019-07-07 17:18:15,909 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2019-07-07 17:18:15,914 | config     | Setting 'search' to 'greedy'
INFO     | 2019-07-07 17:18:15,915 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2019-07-07 17:18:15,915 | config     | Looking for alignment file './genom.phy'...
INFO     | 2019-07-07 17:18:15,915 | threadpool | Using 4 cpus
INFO     | 2019-07-07 17:18:15,915 | analysis   | Beginning Analysis
INFO     | 2019-07-07 17:18:15,933 | alignment  | Reading alignment file './genom.phy'
ERROR    | 2019-07-07 17:18:15,933 | alignment  | Line 1: Failed to find the Phyml header that specifies the species count, and sequence length
ERROR    | 2019-07-07 17:18:15,935 | main       | Failed to run. See previous errors.
INFO     | 2019-07-07 17:18:42,556 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2019-07-07 17:18:42,561 | config     | Setting 'alignment' to 'genom.phy'
INFO     | 2019-07-07 17:18:42,561 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2019-07-07 17:18:42,562 | parser     | You set 'models' to: all
INFO     | 2019-07-07 17:18:42,586 | model_load | This analysis will use the following 56 models of molecular evolution
INFO     | 2019-07-07 17:18:42,586 | model_load | JC, K80, TRNEF, K81, TVMEF, TIMEF, SYM, F81, HKY, TRN, K81UF, TVM, TIM, GTR, JC+G, K80+G, TRNEF+G, K81+G, TVMEF+G, TIMEF+G, SYM+G, F81+G, HKY+G, TRN+G, K81UF+G, TVM+G, TIM+G, GTR+G, JC+I, K80+I, TRNEF+I, K81+I, TVMEF+I, TIMEF+I, SYM+I, F81+I, HKY+I, TRN+I, K81UF+I, TVM+I, TIM+I, GTR+I, JC+I+G, K80+I+G, TRNEF+I+G, K81+I+G, TVMEF+I+G, TIMEF+I+G, SYM+I+G, F81+I+G, HKY+I+G, TRN+I+G, K81UF+I+G, TVM+I+G, TIM+I+G, GTR+I+G
INFO     | 2019-07-07 17:18:42,587 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2019-07-07 17:18:42,591 | config     | Setting 'search' to 'greedy'
INFO     | 2019-07-07 17:18:42,591 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2019-07-07 17:18:42,592 | config     | Looking for alignment file './genom.phy'...
INFO     | 2019-07-07 17:18:42,592 | threadpool | Using 4 cpus
INFO     | 2019-07-07 17:18:42,592 | analysis   | Beginning Analysis
INFO     | 2019-07-07 17:18:42,623 | alignment  | Reading alignment file './genom.phy'
ERROR    | 2019-07-07 17:18:42,623 | alignment  | Line 1: Failed to find the Phyml header that specifies the species count, and sequence length
ERROR    | 2019-07-07 17:18:42,625 | main       | Failed to run. See previous errors.
INFO     | 2019-07-07 17:24:39,902 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2019-07-07 17:24:39,907 | config     | Setting 'alignment' to 'normal.phy'
INFO     | 2019-07-07 17:24:39,908 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2019-07-07 17:24:39,908 | parser     | You set 'models' to: all
INFO     | 2019-07-07 17:24:39,932 | model_load | This analysis will use the following 56 models of molecular evolution
INFO     | 2019-07-07 17:24:39,933 | model_load | JC, K80, TRNEF, K81, TVMEF, TIMEF, SYM, F81, HKY, TRN, K81UF, TVM, TIM, GTR, JC+G, K80+G, TRNEF+G, K81+G, TVMEF+G, TIMEF+G, SYM+G, F81+G, HKY+G, TRN+G, K81UF+G, TVM+G, TIM+G, GTR+G, JC+I, K80+I, TRNEF+I, K81+I, TVMEF+I, TIMEF+I, SYM+I, F81+I, HKY+I, TRN+I, K81UF+I, TVM+I, TIM+I, GTR+I, JC+I+G, K80+I+G, TRNEF+I+G, K81+I+G, TVMEF+I+G, TIMEF+I+G, SYM+I+G, F81+I+G, HKY+I+G, TRN+I+G, K81UF+I+G, TVM+I+G, TIM+I+G, GTR+I+G
INFO     | 2019-07-07 17:24:39,933 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2019-07-07 17:24:39,939 | config     | Setting 'search' to 'greedy'
INFO     | 2019-07-07 17:24:39,939 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2019-07-07 17:24:39,939 | config     | Looking for alignment file './normal.phy'...
INFO     | 2019-07-07 17:24:39,939 | threadpool | Using 4 cpus
INFO     | 2019-07-07 17:24:39,939 | analysis   | Beginning Analysis
INFO     | 2019-07-07 17:24:39,970 | alignment  | Reading alignment file './normal.phy'
ERROR    | 2019-07-07 17:24:39,970 | alignment  | Line 1: Failed to find the Phyml header that specifies the species count, and sequence length
ERROR    | 2019-07-07 17:24:39,972 | main       | Failed to run. See previous errors.
INFO     | 2019-07-07 17:24:59,161 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2019-07-07 17:24:59,166 | config     | Setting 'alignment' to 'normal.phy'
INFO     | 2019-07-07 17:24:59,167 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2019-07-07 17:24:59,167 | parser     | You set 'models' to: all
INFO     | 2019-07-07 17:24:59,190 | model_load | This analysis will use the following 56 models of molecular evolution
INFO     | 2019-07-07 17:24:59,190 | model_load | JC, K80, TRNEF, K81, TVMEF, TIMEF, SYM, F81, HKY, TRN, K81UF, TVM, TIM, GTR, JC+G, K80+G, TRNEF+G, K81+G, TVMEF+G, TIMEF+G, SYM+G, F81+G, HKY+G, TRN+G, K81UF+G, TVM+G, TIM+G, GTR+G, JC+I, K80+I, TRNEF+I, K81+I, TVMEF+I, TIMEF+I, SYM+I, F81+I, HKY+I, TRN+I, K81UF+I, TVM+I, TIM+I, GTR+I, JC+I+G, K80+I+G, TRNEF+I+G, K81+I+G, TVMEF+I+G, TIMEF+I+G, SYM+I+G, F81+I+G, HKY+I+G, TRN+I+G, K81UF+I+G, TVM+I+G, TIM+I+G, GTR+I+G
INFO     | 2019-07-07 17:24:59,191 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2019-07-07 17:24:59,195 | config     | Setting 'search' to 'greedy'
INFO     | 2019-07-07 17:24:59,195 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2019-07-07 17:24:59,196 | config     | Looking for alignment file './normal.phy'...
INFO     | 2019-07-07 17:24:59,196 | threadpool | Using 4 cpus
INFO     | 2019-07-07 17:24:59,196 | analysis   | Beginning Analysis
INFO     | 2019-07-07 17:24:59,227 | alignment  | Reading alignment file './normal.phy'
ERROR    | 2019-07-07 17:24:59,227 | alignment  | Line 2: Line should be species and bases separated by whitespace
ERROR    | 2019-07-07 17:24:59,229 | main       | Failed to run. See previous errors.
INFO     | 2019-07-07 17:25:28,363 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2019-07-07 17:25:28,368 | config     | Setting 'alignment' to 'normal.phy'
INFO     | 2019-07-07 17:25:28,368 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2019-07-07 17:25:28,368 | parser     | You set 'models' to: all
INFO     | 2019-07-07 17:25:28,392 | model_load | This analysis will use the following 56 models of molecular evolution
INFO     | 2019-07-07 17:25:28,393 | model_load | JC, K80, TRNEF, K81, TVMEF, TIMEF, SYM, F81, HKY, TRN, K81UF, TVM, TIM, GTR, JC+G, K80+G, TRNEF+G, K81+G, TVMEF+G, TIMEF+G, SYM+G, F81+G, HKY+G, TRN+G, K81UF+G, TVM+G, TIM+G, GTR+G, JC+I, K80+I, TRNEF+I, K81+I, TVMEF+I, TIMEF+I, SYM+I, F81+I, HKY+I, TRN+I, K81UF+I, TVM+I, TIM+I, GTR+I, JC+I+G, K80+I+G, TRNEF+I+G, K81+I+G, TVMEF+I+G, TIMEF+I+G, SYM+I+G, F81+I+G, HKY+I+G, TRN+I+G, K81UF+I+G, TVM+I+G, TIM+I+G, GTR+I+G
INFO     | 2019-07-07 17:25:28,394 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2019-07-07 17:25:28,398 | config     | Setting 'search' to 'greedy'
INFO     | 2019-07-07 17:25:28,399 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2019-07-07 17:25:28,399 | config     | Looking for alignment file './normal.phy'...
INFO     | 2019-07-07 17:25:28,399 | threadpool | Using 4 cpus
INFO     | 2019-07-07 17:25:28,399 | analysis   | Beginning Analysis
INFO     | 2019-07-07 17:25:28,429 | alignment  | Reading alignment file './normal.phy'
ERROR    | 2019-07-07 17:25:28,430 | alignment  | Line 3: Line should be species and bases separated by whitespace
ERROR    | 2019-07-07 17:25:28,431 | main       | Failed to run. See previous errors.
INFO     | 2019-07-07 17:26:18,994 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2019-07-07 17:26:18,999 | config     | Setting 'alignment' to 'normal.phy'
