Model selection results for subset: a6794e56b41e1ce7fbae9986231a8a91
Subset alignment stored here: ./analysis/phylofiles/a6794e56b41e1ce7fbae9986231a8a91.phy
This subset contains the following data_blocks: atpD, thrC
Number of columns in subset: 836
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
VT+I+F          | 20              | -8636.716       | 17314.463        | 17313.432       | 17408.004      
VT+I+G+F        | 21              | -8638.611       | 17320.357        | 17319.223       | 17418.523      
BLOSUM62+I+F    | 20              | -8659.756       | 17360.543        | 17359.512       | 17454.084      
BLOSUM62+I+G+F  | 21              | -8661.523       | 17366.182        | 17365.047       | 17464.348      
WAG+I+F         | 20              | -8679.249       | 17399.53         | 17398.498       | 17493.07       
WAG+I+G+F       | 21              | -8680.611       | 17404.357        | 17403.223       | 17502.523      
VT+F            | 19              | -8694.944       | 17428.82         | 17427.889       | 17517.732      
VT+G+F          | 20              | -8693.898       | 17428.828        | 17427.797       | 17522.37       
JTT+I+F         | 20              | -8707.911       | 17456.854        | 17455.822       | 17550.395      
JTT+I+G+F       | 21              | -8709.319       | 17461.773        | 17460.639       | 17559.94       
BLOSUM62+F      | 19              | -8712.12        | 17463.172        | 17462.24        | 17552.084      
BLOSUM62+G+F    | 20              | -8711.29        | 17463.611        | 17462.58        | 17557.152      
RTREV+I+F       | 20              | -8724.986       | 17491.004        | 17489.973       | 17584.545      
RTREV+I+G+F     | 21              | -8725.66        | 17494.455        | 17493.32        | 17592.621      
WAG+G+F         | 20              | -8740.194       | 17521.42         | 17520.389       | 17614.96       
WAG+F           | 19              | -8747.522       | 17533.977        | 17533.045       | 17622.889      
LG+I+F          | 20              | -8750.504       | 17542.04         | 17541.008       | 17635.58       
CPREV+I+F       | 20              | -8751.335       | 17543.701        | 17542.67        | 17637.242      
LG+I+G+F        | 21              | -8751.284       | 17545.703        | 17544.568       | 17643.87       
CPREV+I+G+F     | 21              | -8751.675       | 17546.484        | 17545.35        | 17644.65       
